Open,Low,High,Close,Volume
2000-03-28,5.796875,5.585938,5.835938,5.679688,6492800.0
2000-03-29,5.648438,5.507813,5.796875,5.578125,6240000.0
2000-03-30,5.601563,5.59375,5.75,5.75,4350400.0
2000-03-31,5.75,5.609375,5.820313,5.757813,7694400.0
2000-04-03,5.742188,5.601563,5.75,5.664063,6110400.0
2000-04-04,5.632813,5.632813,5.78125,5.773438,7833600.0
2000-04-05,5.75,5.75,5.921875,5.757813,7571200.0
2000-04-06,5.804688,5.671875,5.828125,5.71875,5753600.0
2000-04-07,5.75,5.671875,5.867188,5.820313,6335200.0
2000-04-10,5.820313,5.71875,5.898438,5.898438,6317600.0
2000-04-11,5.890625,5.773438,5.890625,5.84375,3804800.0
2000-04-12,5.828125,5.828125,6.007813,5.90625,7702400.0
2000-04-13,5.929688,5.859375,5.945313,5.882813,3380800.0
2000-04-14,5.835938,5.59375,5.875,5.6875,7104800.0
2000-04-17,5.523438,5.242188,5.5625,5.445313,6863200.0
2000-04-18,5.398438,5.226563,5.429688,5.414063,6824000.0
2000-04-19,5.390625,5.351563,5.625,5.609375,8913600.0
2000-04-20,5.515625,5.507813,5.648438,5.648438,5198400.0
2000-04-24,5.601563,5.59375,5.679688,5.679688,4993600.0
2000-04-25,5.710938,5.664063,5.945313,5.890625,5890400.0
2000-04-26,5.859375,5.820313,5.929688,5.882813,4828800.0
2000-04-27,5.84375,5.632813,5.882813,5.6875,6790400.0
2000-04-28,5.65625,5.59375,5.679688,5.65625,6540800.0
2000-05-01,5.75,5.617188,5.75,5.671875,5548000.0
2000-05-02,5.65625,5.59375,5.710938,5.648438,6198400.0
2000-05-03,5.640625,5.640625,5.71875,5.6875,5279200.0
2000-05-04,5.65625,5.601563,5.835938,5.726563,4792000.0
2000-05-05,5.703125,5.625,5.710938,5.664063,4509600.0
2000-05-08,5.671875,5.671875,5.984375,5.875,7367200.0
2000-05-09,5.84375,5.765625,5.914063,5.835938,4941600.0
2000-05-10,5.867188,5.867188,5.992188,5.90625,2488000.0
2000-05-11,5.96875,5.921875,6.117188,6.085938,6208000.0
2000-05-12,6.070313,5.914063,6.085938,5.945313,4776800.0
2000-05-15,5.945313,5.945313,6.140625,6.078125,6464000.0
2000-05-16,6.046875,5.859375,6.046875,5.898438,4908800.0
2000-05-17,5.882813,5.742188,5.929688,5.84375,6268800.0
2000-05-18,5.875,5.875,6.0625,5.953125,4024000.0
2000-05-19,5.921875,5.890625,6.0,5.976563,3089600.0
2000-05-22,5.96875,5.9375,6.03125,5.953125,4304000.0
2000-05-23,5.96875,5.921875,6.054688,6.015625,6583200.0
2000-05-24,5.976563,5.976563,6.210938,6.085938,20843200.0
2000-05-25,6.03125,5.976563,6.117188,6.109375,5025600.0
2000-05-26,6.078125,6.0625,6.25,6.21875,6811200.0
2000-05-30,6.21875,6.101563,6.21875,6.140625,4888000.0
2000-05-31,6.148438,6.109375,6.25,6.210938,3460800.0
2000-06-01,6.1875,6.132813,6.25,6.195313,4449600.0
2000-06-02,6.148438,6.125,6.195313,6.179688,7083200.0
2000-06-05,6.15625,5.929688,6.164063,5.9375,7558400.0
2000-06-06,5.945313,5.945313,6.171875,6.078125,7020000.0
2000-06-07,6.09375,5.96875,6.101563,6.023438,5506400.0
2000-06-08,6.023438,5.890625,6.054688,6.039063,5392800.0
2000-06-09,6.054688,6.03125,6.171875,6.09375,6099200.0
2000-06-12,6.109375,6.078125,6.140625,6.101563,2933600.0
2000-06-13,6.125,6.03125,6.171875,6.046875,3352800.0
2000-06-14,6.039063,5.953125,6.039063,5.960938,3475200.0
2000-06-15,5.953125,5.945313,6.15625,6.101563,6412800.0
2000-06-16,6.078125,6.054688,6.125,6.0625,4767200.0
2000-06-19,6.0625,5.90625,6.09375,5.921875,3824000.0
2000-06-20,5.929688,5.882813,5.976563,5.96875,3094400.0
2000-06-21,5.992188,5.976563,6.179688,6.09375,7198400.0
2000-06-22,6.109375,6.085938,6.210938,6.132813,9305600.0
2000-06-23,6.117188,6.078125,6.21875,6.21875,6100800.0
2000-06-26,6.1875,6.1875,6.34375,6.226563,6510400.0
2000-06-27,6.195313,6.164063,6.265625,6.1875,7796000.0
2000-06-28,6.1875,6.125,6.34375,6.294922,7436000.0
2000-06-29,6.257813,6.125,6.296875,6.140625,3196000.0
2000-06-30,6.1875,6.125,6.351563,6.1875,12791200.0
2000-07-03,6.15625,6.148438,6.289063,6.226563,2287200.0
2000-07-05,6.296875,6.179688,6.34375,6.203125,3245600.0
2000-07-06,6.242188,6.226563,6.289063,6.28125,5271200.0
2000-07-07,6.265625,6.25,6.421875,6.375,7332000.0
2000-07-10,6.4375,6.4375,6.6875,6.625,11259200.0
2000-07-11,6.570313,6.539063,6.6875,6.640625,7276000.0
2000-07-12,6.625,6.5625,6.679688,6.679688,3852800.0
2000-07-13,6.648438,6.578125,6.796875,6.765625,8071200.0
2000-07-14,6.765625,6.65625,6.851563,6.765625,4012800.0
2000-07-17,6.734375,6.6875,6.75,6.730469,2633600.0
2000-07-18,6.734375,6.546875,6.773438,6.601563,5557600.0
2000-07-19,6.632813,6.617188,6.804688,6.6875,5786400.0
2000-07-20,6.734375,6.601563,6.734375,6.648438,3036800.0
2000-07-21,6.695313,6.554688,6.710938,6.59375,3466400.0
2000-07-24,6.5625,6.53125,6.664063,6.609375,3456800.0
2000-07-25,6.640625,6.601563,6.703125,6.679688,3693600.0
